AssetName, MemCost.Asset, MemCost.Inst, Tgt MemCost.Asset, Tgt MemCost.Inst
/CRD_VolumetricRegion/SetupAssets/TID/DamageVolume/PID_Device_DamageVolume, 1159116, 61200, 1159116, 61200
/CRD_VolumetricRegion/SetupAssets/TID/FireVolume/PID_Devices_FireVolume, 988929, 61209, 988929, 61209
/CRD_Water/SetupAssets/PID_CP_Devices_Water, 498386, 62352, 498386, 62352
/CRD_Weblink/SetupAssets/PID_Device_Weblink, 331809, 22528, 331809, 22528
/CRD_WildlifeSpawner/SetupAssets/PID_Device_WildlifeSpawner, 13805821, 64944, 13805821, 64944
/CRG_Abductor/SetupAssets/PID_CP_Props_Abductor_a, 17084029, 152944, 17084029, 152944
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_a, 307987, 152256, 307987, 152256
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_b, 326302, 173760, 326302, 173760
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_c, 486776, 173760, 486776, 173760
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_d, 176282, 55616, 176282, 55616
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_e, 160951, 27856, 160951, 27856
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_f, 204598, 27904, 204598, 27904
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_g, 180897, 27904, 180897, 27904
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_h, 231977, 27904, 231977, 27904
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_i, 200380, 41856, 200380, 41856
/CRG_Background/SetupAssets/PID_CP_Props_Buildings_j, 582716, 83712, 582716, 83712
/CRG_Background/SetupAssets/PID_CP_Props_Dunes_a, 781766, 13904, 781766, 13904
/CRG_Background/SetupAssets/PID_CP_Props_Dunes_b, 807365, 13856, 807365, 13856
/CRG_Foliage/SetupAssets/PID_CP_Props_Foliage_V2_g, 7761988, 120408, 7761988, 120408
/CRG_Haste/SetupAssets/PID_CP_Props_Haste_a, 4372783, 120540, 4372783, 120540
/CRG_LazyLinks/SetupAssets/PID_CP_LazyLinks_Gallery_aa, 5559968, 787214, 5559968, 787220
/CRG_Minerva/SetupAssets/PID_CP_Props_Minerva_a, 11788777, 210072, 11788777, 210072
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Mountain_a, 1863767, 62352, 1863767, 62352
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Mountain_b, 1863767, 62352, 1863767, 62352
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Mountain_c, 1863767, 83136, 1863767, 83136
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Rocks_Large_a, 2479115, 83136, 2479115, 83136
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Rocks_Large_b, 2479115, 83136, 2479115, 83136
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Rocks_Large_c, 2479115, 110848, 2479115, 110848
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Rocks_Small_a, 2577190, 166272, 2577190, 166272
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Rocks_Small_b, 2577190, 166272, 2577190, 166272
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Rocks_Small_c, 2577190, 221696, 2577190, 221696
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Statues_a, 3227673, 103920, 3227673, 103920
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Statues_b, 3227673, 103920, 3227673, 103920
/CRG_Modular/SetupAssets/Maps/PID_CP_Props_Modular_Statues_c, 3227673, 138560, 3227673, 138560
/CRG_Nature/SetupAssets/Maps/PID_CP_Props_S_Nature_pp, 8784772, 204764, 8784772, 204764
/CRG_Nature/SetupAssets/Maps/PID_CP_Props_S_Nature_q, 7151167, 174160, 7151167, 174160
/CRG_Props/SetupAssets/Maps/PID_CP_Props_Resources_a, 9428959, 278080, 9428959, 278080
/CRG_Props/SetupAssets/Maps/PID_CP_Props_Tall_Grass_a, 585314, 306544, 585314, 306544
/CRG_Props/SetupAssets/Maps/PID_CP_Props_Tall_Grass_b, 1116607, 318960, 1116607, 318960
/CRG_Spire/SetupAssets/PID_CP_Gallery_Spire_a, 6765505, 413568, 6765505, 413568
/CRG_Spire/SetupAssets/PID_CP_Gallery_Spire_b, 5569323, 504198, 5569323, 504196
/CRG_Spire/SetupAssets/PID_CP_Props_Spire_a, 13827574, 164192, 13827574, 164192
/CRG_Spire/SetupAssets/PID_CP_Props_Spire_b, 15569340, 594624, 15569340, 594624
/CRG_Terrain/SetupAssets/PID_CP_Props_Caves_a, 6804482, 282372, 6804482, 282372
/CRG_Terrain/SetupAssets/PID_CP_Props_Terrain_Dunes_b, 346690, 34640, 346690, 34640
/CRG_TRV/SetupAssets/PID_CP_TRV_Castle_Gallery_a, 11195310, 409569, 11195310, 409584
/CRG_TRV/SetupAssets/PID_CP_TRV_Castle_Gallery_b, 3295672, 291511, 3295672, 291516
/CRG_TRV/SetupAssets/PID_CP_TRV_Castle_Gallery_c, 1600501, 147884, 1600501, 147884
/CRG_TRV/SetupAssets/PID_CP_TRV_Castle_Gallery_d, 14740322, 861527, 14740322, 861528
/CRG_TRV/SetupAssets/PID_CP_TRV_Castle_Gallery_e, 3366542, 640980, 3366542, 640980
/CRG_TRV/SetupAssets/PID_CP_TRV_Castle_Gallery_f, 3283303, 935239, 3283303, 935244
/CRG_TRV/SetupAssets/PID_CP_TRV_Castle_Gallery_g, 8016694, 197060, 8016694, 197060
/CRP_7Village/SetupAssets/PID_CP_7Village_Gallery_a, 3559307, 484582, 3559307, 484588
